,time,type,position,entry,sl,tp,exit_price,exit_time,result,rr_ratio,pnl,pnl_pips,lot_size,atr,balance
104,2024-09-18 13:35:00,SWEEP_bullish,buy,2576.19,2575.9900000000002,2576.59,2575.9900000000002,2024-09-18 13:40:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4446666666666714,9800.000000000182
105,2024-09-18 13:50:00,SWEEP_bullish,buy,2576.28,2576.0800000000004,2576.6800000000003,2576.0800000000004,2024-09-18 13:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5593333333333248,9800.000000000182
106,2024-09-18 14:45:00,SWEEP_bullish,buy,2578.58,2578.38,2578.98,2578.38,2024-09-18 14:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5026666666666642,9800.000000000182
107,2024-09-18 15:35:00,SWEEP_bearish,sell,2575.26,2575.46,2574.86,2575.46,2024-09-18 15:40:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5093333333332946,9800.000000000182
108,2024-09-18 16:55:00,SWEEP_bearish,sell,2571.9,2572.1,2571.5,2572.1,2024-09-18 17:00:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.140000000000024,9800.000000000182
109,2024-09-19 08:30:00,SWEEP_bullish,buy,2567.83,2567.63,2568.23,2567.63,2024-09-19 08:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.307333333333342,9800.000000000182
110,2024-09-19 10:50:00,SWEEP_bullish,buy,2581.83,2581.63,2582.23,2582.23,2024-09-19 10:55:00,win,2.0,400.000000000091,0.40000000000009095,0.01,2.109333333333325,10400.000000000091
111,2024-09-19 11:00:00,SWEEP_bullish,buy,2582.02,2581.82,2582.42,2581.82,2024-09-19 11:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.234666666666696,9800.000000000182
112,2024-09-19 14:10:00,SWEEP_bearish,sell,2586.27,2586.47,2585.87,2585.87,2024-09-19 14:15:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.9113333333333684,10400.000000000091
113,2024-09-19 15:15:00,SWEEP_bullish,buy,2588.98,2588.78,2589.38,2589.38,2024-09-19 15:20:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.845333333333383,10400.000000000091
