,trade_id,signal_time,entry_fill_time,exit_time,type,position,entry,sl,tp,exit_price,result,highest_point,lowest_point,rr_ratio,pnl,pnl_points,lot_size,initial_balance_for_trade,balance_after_trade
21,22,2024-11-15 20:50:00+00:00,2024-11-15 20:55:00+00:00,,FVG_bullish,buy,20343.525,20319.18143,20416.55571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
22,23,2024-11-15 21:55:00+00:00,2024-11-15 22:00:00+00:00,,FVG_bullish,buy,20368.0,20345.20857,20436.37429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
23,24,2024-11-18 03:00:00+00:00,2024-11-18 03:05:00+00:00,,FVG_bearish,sell,20519.36,20530.33929,20486.42214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
24,25,2024-11-18 04:40:00+00:00,2024-11-18 04:45:00+00:00,,FVG_bearish,sell,20519.745,20529.64143,20490.05571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
25,26,2024-11-18 07:45:00+00:00,2024-11-18 07:50:00+00:00,,FVG_bearish,sell,20533.185,20540.24786,20511.99643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
26,27,2024-11-18 18:40:00+00:00,2024-11-18 18:45:00+00:00,,FVG_bearish,sell,20611.12,20628.59643,20558.69071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
27,28,2024-11-18 20:00:00+00:00,2024-11-18 20:05:00+00:00,,FVG_bearish,sell,20546.675,20565.59214,20489.92357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
28,29,2024-11-19 10:40:00+00:00,2024-11-19 10:45:00+00:00,,FVG_bullish,buy,20524.455,20505.63071,20580.92786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
29,30,2024-11-19 11:30:00+00:00,2024-11-19 11:35:00+00:00,,FVG_bullish,buy,20468.585,20434.31143,20571.40571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
30,31,2024-11-20 04:25:00+00:00,2024-11-20 04:30:00+00:00,,FVG_bearish,sell,20703.915,20714.03286,20673.56143,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
31,32,2024-11-20 18:15:00+00:00,2024-11-20 18:20:00+00:00,,FVG_bullish,buy,20516.5,20482.21571,20619.35286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
32,33,2024-11-20 23:50:00+00:00,2024-11-20 23:55:00+00:00,,FVG_bearish,sell,20621.185,20663.87429,20493.11714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
33,34,2024-11-21 21:40:00+00:00,2024-11-21 21:45:00+00:00,,FVG_bearish,sell,20754.035,20779.73857,20676.92429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
34,35,2024-11-22 02:35:00+00:00,2024-11-22 02:40:00+00:00,,FVG_bullish,buy,20705.6,20692.97,20743.49,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
35,36,2024-11-22 02:35:00+00:00,2024-11-22 02:40:00+00:00,,FVG_bullish,buy,20705.6,20692.97,20743.49,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
36,37,2024-11-22 12:10:00+00:00,2024-11-22 12:15:00+00:00,,FVG_bullish,buy,20647.16,20619.65929,20729.66214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
37,38,2024-11-25 19:15:00+00:00,2024-11-25 19:20:00+00:00,,FVG_bullish,buy,20790.14,20764.26143,20867.77571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
38,39,2024-11-25 21:25:00+00:00,2024-11-25 21:30:00+00:00,,FVG_bullish,buy,20780.49,20761.44786,20837.61643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
39,40,2024-11-26 16:15:00+00:00,2024-11-26 16:20:00+00:00,,FVG_bearish,sell,20892.205,20905.26929,20853.01214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
40,41,2024-11-26 16:35:00+00:00,2024-11-26 16:40:00+00:00,,FVG_bearish,sell,20882.785,20901.68857,20826.07429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
41,42,2024-11-27 11:20:00+00:00,2024-11-27 11:25:00+00:00,,FVG_bullish,buy,20860.085,20843.95429,20908.47714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
42,43,2024-11-27 16:15:00+00:00,2024-11-27 16:20:00+00:00,,FVG_bearish,sell,20872.9,20886.10214,20833.29357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
43,44,2024-11-27 16:15:00+00:00,2024-11-27 16:20:00+00:00,,FVG_bearish,sell,20872.9,20886.10214,20833.29357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
44,45,2024-11-27 18:05:00+00:00,2024-11-27 18:10:00+00:00,,FVG_bullish,buy,20674.575,20641.15714,20774.82857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
45,46,2024-11-27 18:50:00+00:00,2024-11-27 18:55:00+00:00,,FVG_bullish,buy,20657.445,20629.27071,20741.96786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
46,47,2024-11-28 04:25:00+00:00,2024-11-28 04:30:00+00:00,,FVG_bearish,sell,20778.185,20785.24071,20757.01786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
47,48,2024-11-28 15:45:00+00:00,2024-11-28 15:50:00+00:00,,FVG_bearish,sell,20807.485,20812.97071,20791.02786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
48,49,2024-11-29 15:20:00+00:00,2024-11-29 15:25:00+00:00,,FVG_bullish,buy,20797.775,20787.67143,20828.08571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
49,50,2024-11-29 18:15:00+00:00,2024-11-29 18:20:00+00:00,,FVG_bearish,sell,20917.305,20937.14357,20857.78929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
50,51,2024-11-29 19:35:00+00:00,2024-11-29 19:40:00+00:00,,FVG_bearish,sell,20935.485,20950.11429,20891.59714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
51,52,2024-11-29 19:35:00+00:00,2024-11-29 19:40:00+00:00,,FVG_bearish,sell,20935.485,20950.11429,20891.59714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
52,53,2024-12-02 16:05:00+00:00,2024-12-02 16:10:00+00:00,,FVG_bearish,sell,20969.935,20982.80786,20931.31643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
53,54,2024-12-02 18:10:00+00:00,2024-12-02 18:15:00+00:00,,FVG_bearish,sell,21117.615,21142.045,21044.325,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
54,55,2024-12-02 18:10:00+00:00,2024-12-02 18:15:00+00:00,,FVG_bearish,sell,21117.615,21142.045,21044.325,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
