Time,Symbol,Timeframe,Action,Entry Price,Exit Price,PnL,Drawdown,Bias
2024-12-09 07:45:00-05:00,XAUUSD,15min,buy,2655.04,2666.52,11.48,-1.58,bullish
2024-12-10 07:15:00-05:00,XAUUSD,15min,sell,2666.52,2671.36,-4.84,-10.22,bearish
2024-12-10 08:00:00-05:00,XAUUSD,15min,buy,2671.36,2675.03,3.67,-4.27,bullish
2024-12-10 09:45:00-05:00,XAUUSD,15min,buy,2675.03,2683.5,8.47,-2.74,bullish
2024-12-10 12:00:00-05:00,XAUUSD,15min,buy,2686.68,2690.56,3.88,-2.26,bullish
2024-12-10 14:15:00-05:00,XAUUSD,15min,buy,2690.56,2717.91,27.35,-15.15,bullish
2024-12-11 17:00:00-05:00,XAUUSD,15min,sell,2717.91,2716.31,1.6,-1.97,bearish
2024-12-11 17:45:00-05:00,XAUUSD,15min,sell,2716.31,2714.35,1.96,-9.73,bearish
2024-12-12 04:15:00-05:00,XAUUSD,15min,buy,2716.55,2656.51,-60.04,-73.19,bullish
2024-12-16 05:45:00-05:00,XAUUSD,15min,buy,2656.51,2660.45,3.94,-0.85,bullish
2024-12-16 10:15:00-05:00,XAUUSD,15min,buy,2660.45,2652.69,-7.76,-11.73,bullish
2024-12-16 14:15:00-05:00,XAUUSD,15min,sell,2652.69,2650.75,1.94,-5.91,bearish
2024-12-17 05:00:00-05:00,XAUUSD,15min,sell,2650.75,2640.94,9.81,-1.32,bearish
2024-12-17 09:00:00-05:00,XAUUSD,15min,sell,2640.94,2644.56,-3.62,-6.87,bearish
2024-12-17 15:15:00-05:00,XAUUSD,15min,buy,2644.56,2645.98,1.42,-2.39,bullish
2024-12-18 07:00:00-05:00,XAUUSD,15min,sell,2645.98,2636.15,9.83,-3.45,bearish
2024-12-18 14:45:00-05:00,XAUUSD,15min,sell,2636.15,2610.64,25.51,-2.57,bearish
2024-12-19 04:00:00-05:00,XAUUSD,15min,buy,2610.64,2615.18,4.54,2.78,bullish
2024-12-19 05:15:00-05:00,XAUUSD,15min,buy,2615.18,2617.82,2.64,-1.67,bullish
2024-12-19 06:45:00-05:00,XAUUSD,15min,buy,2619.15,2596.29,-22.86,-32.04,bullish
2024-12-19 16:15:00-05:00,XAUUSD,15min,buy,2596.29,2623.53,27.24,-6.66,bullish
2024-12-20 13:15:00-05:00,XAUUSD,15min,buy,2623.53,2616.8,-6.73,-10.57,bullish
2024-12-23 10:45:00-05:00,XAUUSD,15min,sell,2616.8,2615.37,1.43,-4.55,bearish
2024-12-24 07:45:00-05:00,XAUUSD,15min,buy,2615.37,2614.65,-0.72,-5.49,bullish
2024-12-24 14:00:00-05:00,XAUUSD,15min,buy,2614.65,2626.09,11.44,-0.74,bullish
2024-12-26 05:45:00-05:00,XAUUSD,15min,buy,2626.09,2627.08,0.99,-1.35,bullish
2024-12-26 10:00:00-05:00,XAUUSD,15min,sell,2627.08,2625.77,1.31,-3.19,bearish
2024-12-26 11:15:00-05:00,XAUUSD,15min,sell,2625.77,2624.69,1.08,-0.73,bearish
2024-12-26 11:30:00-05:00,XAUUSD,15min,buy,2624.69,2627.67,2.98,1.26,bullish
2024-12-26 13:00:00-05:00,XAUUSD,15min,buy,2631.64,2627.68,-3.96,-8.35,bullish
2024-12-27 08:45:00-05:00,XAUUSD,15min,sell,2627.68,2616.91,10.77,-3.65,bearish
2024-12-27 15:30:00-05:00,XAUUSD,15min,sell,2616.91,2605.8,11.11,-11.11,bearish
2024-12-30 20:45:00-05:00,XAUUSD,15min,buy,2605.8,2611.93,6.13,-3.46,bullish
2024-12-31 05:15:00-05:00,XAUUSD,15min,buy,2611.93,2640.85,28.92,-6.42,bullish
2025-01-02 07:45:00-05:00,XAUUSD,15min,buy,2640.85,2650.26,9.41,-4.67,bullish
2025-01-02 13:00:00-05:00,XAUUSD,15min,buy,2650.26,2654.62,4.36,2.38,bullish
2025-01-02 15:45:00-05:00,XAUUSD,15min,buy,2654.62,2655.26,0.64,-4.83,bullish
2025-01-03 07:15:00-05:00,XAUUSD,15min,sell,2655.26,2640.44,14.82,-3.88,bearish
2025-01-05 20:30:00-05:00,XAUUSD,15min,sell,2640.44,2632.53,7.91,-6.73,bearish
2025-01-06 06:30:00-05:00,XAUUSD,15min,sell,2632.53,2634.75,-2.22,-16.67,bearish
2025-01-06 12:00:00-05:00,XAUUSD,15min,sell,2634.75,2629.25,5.5,-4.78,bearish
2025-01-06 12:15:00-05:00,XAUUSD,15min,buy,2629.25,2642.44,13.19,3.06,bullish
2025-01-07 05:15:00-05:00,XAUUSD,15min,sell,2642.44,2655.81,-13.37,-21.6,bearish
2025-01-07 11:15:00-05:00,XAUUSD,15min,buy,2655.81,2649.63,-6.18,-13.43,bullish
2025-01-07 18:00:00-05:00,XAUUSD,15min,sell,2649.63,2659.57,-9.94,-20.24,bearish
2025-01-08 16:45:00-05:00,XAUUSD,15min,sell,2659.57,2662.23,-2.66,-7.09,bearish
2025-01-09 04:15:00-05:00,XAUUSD,15min,buy,2664.58,2669.28,4.7,-3.87,bullish
2025-01-09 16:00:00-05:00,XAUUSD,15min,buy,2669.28,2676.11,6.83,-0.96,bullish
2025-01-10 04:00:00-05:00,XAUUSD,15min,buy,2676.11,2690.57,14.46,-12.25,bullish
2025-01-10 17:45:00-05:00,XAUUSD,15min,sell,2690.57,2667.66,22.91,-2.96,bearish
2025-01-14 12:45:00-05:00,XAUUSD,15min,buy,2667.66,2679.68,12.02,-0.95,bullish
2025-01-15 04:00:00-05:00,XAUUSD,15min,buy,2679.68,2685.13,5.45,-3.25,bullish
2025-01-15 13:45:00-05:00,XAUUSD,15min,sell,2685.13,2702.5,-17.37,-25.63,bearish
2025-01-16 07:45:00-05:00,XAUUSD,15min,buy,2706.26,2712.43,6.17,-6.08,bullish
2025-01-16 11:30:00-05:00,XAUUSD,15min,buy,2712.43,2711.06,-1.37,-3.8,bullish
2025-01-17 05:45:00-05:00,XAUUSD,15min,sell,2711.06,2709.15,1.91,-1.02,bearish
