time,open,high,low,close,tick_volume,spread,real_volume
2025-04-16 14:40:00,3298.83,3303.54,3297.51,3302.97,1339,22,0
2025-04-16 14:45:00,3302.98,3311.03,3302.97,3310.48,2651,21,0
2025-04-16 14:50:00,3310.42,3311.02,3308.43,3310.4,1720,22,0
2025-04-16 14:55:00,3310.26,3313.62,3306.49,3306.76,1891,22,0
2025-04-16 15:00:00,3306.77,3308.26,3304.7,3306.33,2303,22,0
2025-04-16 15:05:00,3306.34,3309.03,3305.73,3307.56,1593,22,0
2025-04-16 15:10:00,3307.64,3309.39,3306.53,3306.97,1455,22,0
2025-04-16 15:15:00,3306.97,3307.81,3305.78,3306.02,1079,22,0
2025-04-16 15:20:00,3306.1,3308.91,3304.78,3305.06,1802,21,0
2025-04-16 15:25:00,3305.01,3307.84,3304.93,3306.64,1337,22,0
2025-04-16 15:30:00,3306.87,3308.01,3305.06,3306.26,1423,22,0
2025-04-16 15:35:00,3306.28,3307.7,3302.77,3303.31,1751,22,0
2025-04-16 15:40:00,3303.32,3312.54,3302.18,3312.45,2061,21,0
2025-04-16 15:45:00,3312.44,3313.18,3310.24,3311.78,1515,22,0
2025-04-16 15:50:00,3311.85,3312.67,3307.77,3308.93,1953,21,0
2025-04-16 15:55:00,3308.91,3310.94,3305.94,3307.38,1837,21,0
2025-04-16 16:00:00,3307.37,3309.17,3304.83,3307.34,2424,21,0
2025-04-16 16:05:00,3307.33,3310.17,3307.0,3309.96,1771,21,0
2025-04-16 16:10:00,3309.95,3311.13,3306.35,3306.35,1375,22,0
2025-04-16 16:15:00,3306.19,3306.46,3303.76,3304.88,1790,22,0
2025-04-16 16:20:00,3304.88,3308.98,3299.91,3300.4,2444,21,0
2025-04-16 16:25:00,3300.34,3306.19,3299.15,3305.12,2106,22,0
2025-04-16 16:30:00,3305.09,3306.7,3302.58,3303.45,2725,22,0
2025-04-16 16:35:00,3303.42,3304.83,3297.1,3297.89,2644,21,0
2025-04-16 16:40:00,3297.91,3300.1,3296.74,3298.99,1718,22,0
2025-04-16 16:45:00,3298.97,3305.14,3298.74,3304.57,2349,22,0
2025-04-16 16:50:00,3304.59,3310.16,3304.59,3309.64,2759,22,0
2025-04-16 16:55:00,3309.7,3316.24,3309.39,3311.28,2450,22,0
2025-04-16 17:00:00,3311.33,3319.22,3311.33,3315.45,3224,21,0
2025-04-16 17:05:00,3315.55,3317.78,3312.39,3313.21,2896,22,0
2025-04-16 17:10:00,3313.2,3313.38,3307.13,3308.92,2657,21,0
2025-04-16 17:15:00,3308.94,3313.69,3307.14,3310.67,2456,22,0
2025-04-16 17:20:00,3310.71,3314.33,3309.95,3313.19,1845,22,0
2025-04-16 17:25:00,3313.21,3314.4,3311.66,3312.8,1658,22,0
2025-04-16 17:30:00,3312.81,3314.58,3309.45,3309.87,2160,22,0
2025-04-16 17:35:00,3309.77,3312.38,3309.57,3312.08,1525,22,0
2025-04-16 17:40:00,3312.1,3313.5,3309.65,3309.72,1628,22,0
2025-04-16 17:45:00,3309.74,3312.57,3308.78,3310.19,1974,22,0
2025-04-16 17:50:00,3310.2,3310.2,3307.03,3309.1,1859,21,0
2025-04-16 17:55:00,3309.12,3309.82,3306.22,3308.59,2034,21,0
2025-04-16 18:00:00,3308.6,3313.24,3306.24,3312.51,2380,21,0
2025-04-16 18:05:00,3312.53,3314.13,3305.79,3307.12,2186,22,0
2025-04-16 18:10:00,3307.13,3309.41,3305.24,3309.2,2217,21,0
2025-04-16 18:15:00,3309.22,3311.79,3308.86,3310.82,1765,22,0
2025-04-16 18:20:00,3310.78,3311.89,3308.59,3311.3,1792,22,0
2025-04-16 18:25:00,3311.34,3313.93,3310.58,3313.87,1537,23,0
2025-04-16 18:30:00,3313.87,3317.47,3313.7,3315.68,1843,22,0
2025-04-16 18:35:00,3315.68,3319.38,3315.31,3318.28,1647,22,0
2025-04-16 18:40:00,3318.27,3325.0,3317.38,3321.7,2180,21,0
2025-04-16 18:45:00,3321.69,3324.03,3320.81,3323.54,1885,22,0
2025-04-16 18:50:00,3323.5,3328.15,3323.41,3327.98,1806,21,0
2025-04-16 18:55:00,3327.98,3328.04,3324.88,3325.14,1556,22,0
2025-04-16 19:00:00,3325.16,3328.43,3324.3,3326.2,2029,21,0
2025-04-16 19:05:00,3326.12,3327.2,3324.49,3327.13,1414,22,0
2025-04-16 19:10:00,3327.12,3328.45,3325.72,3326.06,1220,22,0
2025-04-16 19:15:00,3326.08,3328.84,3325.73,3328.74,1486,21,0
2025-04-16 19:20:00,3328.71,3332.08,3327.9,3331.41,1403,23,0
2025-04-16 19:25:00,3331.43,3332.95,3330.07,3331.81,1313,21,0
2025-04-16 19:30:00,3331.82,3331.98,3329.59,3331.32,1167,22,0
2025-04-16 19:35:00,3331.25,3331.54,3327.53,3327.74,1333,22,0
2025-04-16 19:40:00,3327.7,3327.7,3321.39,3322.68,2356,21,0
2025-04-16 19:45:00,3322.69,3326.62,3322.4,3325.78,1585,22,0
2025-04-16 19:50:00,3325.81,3325.99,3324.21,3324.43,1341,22,0
