time,open,high,low,close,tick_volume,spread,real_volume
2025-04-09 14:40:00,1.27976,1.28004,1.27871,1.27928,1329,5,0
2025-04-09 14:45:00,1.27929,1.2809300000000001,1.2787,1.27969,1808,0,0
2025-04-09 14:50:00,1.2797,1.28,1.27777,1.27838,1654,4,0
2025-04-09 14:55:00,1.27838,1.27864,1.27715,1.27724,1236,6,0
2025-04-09 15:00:00,1.27726,1.27824,1.27691,1.27783,1602,8,0
2025-04-09 15:05:00,1.2778,1.2788300000000001,1.27708,1.27768,1396,6,0
2025-04-09 15:10:00,1.27768,1.27821,1.27701,1.27775,1513,5,0
2025-04-09 15:15:00,1.27773,1.27847,1.27758,1.27792,1393,1,0
2025-04-09 15:20:00,1.27792,1.2797,1.2779099999999999,1.27966,1861,2,0
2025-04-09 15:25:00,1.2796699999999999,1.28047,1.27873,1.28043,1277,4,0
2025-04-09 15:30:00,1.28042,1.28111,1.27977,1.28109,1602,8,0
2025-04-09 15:35:00,1.28108,1.28134,1.28025,1.2809599999999999,1168,4,0
2025-04-09 15:40:00,1.28097,1.28144,1.28056,1.28118,1147,5,0
2025-04-09 15:45:00,1.28118,1.28138,1.28017,1.28029,1072,8,0
2025-04-09 15:50:00,1.28029,1.28106,1.2797,1.28091,1326,6,0
2025-04-09 15:55:00,1.28092,1.28135,1.28019,1.28034,1352,1,0
2025-04-09 16:00:00,1.28034,1.28135,1.27965,1.2801,2145,0,0
2025-04-09 16:05:00,1.28011,1.2806199999999999,1.2796,1.27972,1578,1,0
2025-04-09 16:10:00,1.27973,1.27994,1.27787,1.2783,1188,5,0
2025-04-09 16:15:00,1.27829,1.27899,1.27762,1.27887,1015,2,0
2025-04-09 16:20:00,1.27889,1.27975,1.27855,1.27934,883,7,0
2025-04-09 16:25:00,1.27934,1.27942,1.27862,1.27899,1048,9,0
2025-04-09 16:30:00,1.27897,1.27923,1.2775699999999999,1.2784,1949,4,0
2025-04-09 16:35:00,1.27839,1.27884,1.27756,1.27826,1799,6,0
2025-04-09 16:40:00,1.27828,1.27866,1.27753,1.27828,1715,7,0
2025-04-09 16:45:00,1.27826,1.27838,1.27752,1.27772,1171,4,0
2025-04-09 16:50:00,1.27772,1.27813,1.27718,1.27796,1250,4,0
2025-04-09 16:55:00,1.27797,1.27864,1.2775400000000001,1.2775699999999999,1384,6,0
2025-04-09 17:00:00,1.27763,1.2778399999999999,1.2752,1.27602,1911,5,0
2025-04-09 17:05:00,1.2760099999999999,1.2764,1.27508,1.27584,1325,0,0
2025-04-09 17:10:00,1.27583,1.27707,1.2757800000000001,1.2763200000000001,1278,4,0
2025-04-09 17:15:00,1.2763200000000001,1.27683,1.27603,1.27606,929,8,0
2025-04-09 17:20:00,1.27604,1.2763900000000001,1.27566,1.27589,1235,0,0
2025-04-09 17:25:00,1.27591,1.27628,1.27532,1.27627,955,7,0
2025-04-09 17:30:00,1.27627,1.27794,1.27624,1.2775699999999999,976,3,0
2025-04-09 17:35:00,1.27756,1.2777,1.27695,1.27706,864,7,0
2025-04-09 17:40:00,1.27706,1.27759,1.2760500000000001,1.27611,855,9,0
2025-04-09 17:45:00,1.27613,1.27694,1.2760799999999999,1.27626,856,9,0
2025-04-09 17:50:00,1.27627,1.27627,1.27535,1.27566,1197,0,0
2025-04-09 17:55:00,1.27567,1.27658,1.27511,1.27565,1794,3,0
2025-04-09 18:00:00,1.27566,1.27629,1.27527,1.27624,1477,7,0
2025-04-09 18:05:00,1.27622,1.2772000000000001,1.2762,1.27652,1023,6,0
