time,open,high,low,close,tick_volume,spread,real_volume,FVG_Up,FVG_Down,Bullish_OB,Bearish_OB,Buy_Signal,Sell_Signal
2025-04-09 14:40:00,1.10388,1.10471,1.10358,1.10471,1302,13,0,False,False,False,False,False,False
2025-04-09 14:45:00,1.10471,1.10513,1.10394,1.10444,1547,13,0,False,False,False,True,False,False
2025-04-09 14:50:00,1.10445,1.10497,1.10317,1.10366,1592,13,0,False,False,False,False,False,False
2025-04-09 14:55:00,1.10367,1.104,1.10326,1.10358,1135,13,0,False,False,False,False,False,False
2025-04-09 15:00:00,1.10359,1.10497,1.10349,1.10442,1579,13,0,False,False,True,False,False,False
2025-04-09 15:05:00,1.10442,1.10495,1.10386,1.1044100000000001,1275,13,0,False,False,False,True,False,False
2025-04-09 15:10:00,1.10442,1.10499,1.10393,1.10486,1188,13,0,False,False,True,False,False,False
2025-04-09 15:15:00,1.10482,1.10516,1.10456,1.10513,1103,13,0,False,False,False,False,False,False
2025-04-09 15:20:00,1.10511,1.10693,1.10488,1.10689,1335,13,0,False,False,False,False,False,False
2025-04-09 15:25:00,1.10688,1.10786,1.10642,1.10782,1153,13,0,False,False,False,False,False,False
2025-04-09 15:30:00,1.10783,1.10873,1.1075,1.10872,1451,13,0,False,False,False,False,False,False
2025-04-09 15:35:00,1.10873,1.10944,1.10797,1.10904,1305,13,0,False,False,False,False,False,False
2025-04-09 15:40:00,1.10899,1.10913,1.10774,1.10783,1285,13,0,False,False,False,True,False,False
2025-04-09 15:45:00,1.10784,1.10805,1.10622,1.10632,1520,13,0,False,False,False,False,False,False
2025-04-09 15:50:00,1.10632,1.10755,1.10597,1.10724,1472,13,0,False,False,True,False,False,False
2025-04-09 15:55:00,1.10723,1.10761,1.10637,1.10745,1519,13,0,False,False,False,False,False,False
2025-04-09 16:00:00,1.10745,1.10795,1.10602,1.10649,2299,13,0,False,False,False,True,False,False
2025-04-09 16:05:00,1.10649,1.10712,1.10593,1.10694,1782,13,0,False,False,True,False,False,False
2025-04-09 16:10:00,1.10694,1.10728,1.10652,1.10709,1474,13,0,False,False,False,False,False,False
2025-04-09 16:15:00,1.10708,1.10735,1.10616,1.10694,1243,13,0,False,False,False,True,False,False
2025-04-09 16:20:00,1.10693,1.10808,1.1068500000000001,1.10778,999,13,0,False,False,True,False,False,False
2025-04-09 16:25:00,1.10778,1.10803,1.1074,1.10799,859,13,0,False,False,False,False,False,False
2025-04-09 16:30:00,1.10796,1.10802,1.10572,1.10601,1606,13,0,False,False,False,True,False,False
2025-04-09 16:35:00,1.10601,1.10671,1.10537,1.10583,1298,13,0,False,False,False,False,False,False
2025-04-09 16:40:00,1.10586,1.10586,1.10469,1.10519,1395,13,0,False,False,False,False,False,False
2025-04-09 16:45:00,1.10517,1.10548,1.10422,1.10434,1160,13,0,False,False,False,False,False,False
2025-04-09 16:50:00,1.10433,1.10488,1.10327,1.10374,1185,13,0,False,False,False,False,False,False
2025-04-09 16:55:00,1.10375,1.10473,1.10354,1.10445,1344,13,0,False,False,True,False,False,False
2025-04-09 17:00:00,1.10445,1.10457,1.10305,1.10327,1159,13,0,False,False,False,True,False,False
2025-04-09 17:05:00,1.10328,1.10444,1.10328,1.10433,1093,13,0,False,False,True,False,False,False
2025-04-09 17:10:00,1.10432,1.10457,1.10357,1.10429,1007,13,0,False,False,False,True,False,False
2025-04-09 17:15:00,1.10428,1.10488,1.1041,1.10436,788,13,0,False,False,True,False,False,False
2025-04-09 17:20:00,1.10435,1.10511,1.10402,1.1041,1030,13,0,False,False,False,True,False,False
2025-04-09 17:25:00,1.10409,1.10459,1.10365,1.10425,1186,13,0,False,False,True,False,False,False
2025-04-09 17:30:00,1.1042399999999999,1.10473,1.10416,1.10439,1089,13,0,False,False,False,False,False,False
2025-04-09 17:35:00,1.10437,1.1050200000000001,1.10431,1.10465,829,13,0,False,False,False,False,False,False
2025-04-09 17:40:00,1.10464,1.10503,1.10312,1.10317,938,13,0,False,False,False,True,False,False
2025-04-09 17:45:00,1.1031900000000001,1.1042,1.10317,1.1035,930,13,0,False,False,True,False,False,False
2025-04-09 17:50:00,1.1035,1.10413,1.1026,1.10372,1079,13,0,False,False,False,False,False,False
2025-04-09 17:55:00,1.1037,1.10405,1.10335,1.10404,1320,13,0,False,False,False,False,False,False
2025-04-09 18:00:00,1.10403,1.10433,1.10359,1.10425,1048,13,0,False,False,False,False,False,False
2025-04-09 18:05:00,1.10421,1.10515,1.1042,1.10469,708,13,0,False,False,False,False,False,False
2025-04-09 18:10:00,1.10469,1.10537,1.10453,1.10526,705,13,0,False,False,False,False,False,False
2025-04-09 18:15:00,1.10526,1.1061,1.1048499999999999,1.1061,897,13,0,False,False,False,False,False,False
2025-04-09 18:20:00,1.10609,1.10625,1.10511,1.10517,797,13,0,False,False,False,True,False,False
2025-04-09 18:25:00,1.10517,1.10618,1.10503,1.10611,731,13,0,False,False,True,False,False,False
2025-04-09 18:30:00,1.10612,1.10655,1.1057,1.10642,604,13,0,False,False,False,False,False,False
2025-04-09 18:35:00,1.10641,1.10683,1.10588,1.1061,766,13,0,False,False,False,True,False,False
2025-04-09 18:40:00,1.10609,1.1061,1.10486,1.10486,750,13,0,False,False,False,False,False,False
2025-04-09 18:45:00,1.10487,1.10545,1.10466,1.10528,709,13,0,False,False,True,False,False,False
2025-04-09 18:50:00,1.1053,1.10552,1.10428,1.10461,806,13,0,False,False,False,True,False,False
2025-04-09 18:55:00,1.10463,1.10475,1.10372,1.10381,772,13,0,False,False,False,False,False,False
2025-04-09 19:00:00,1.10385,1.10391,1.10321,1.10357,816,13,0,False,False,False,False,False,False
2025-04-09 19:05:00,1.10356,1.10356,1.10246,1.10266,654,13,0,False,False,False,False,False,False
2025-04-09 19:10:00,1.10263,1.10351,1.10259,1.10348,580,13,0,False,False,True,False,False,False
2025-04-09 19:15:00,1.10348,1.10376,1.10297,1.1037,600,13,0,False,False,False,False,False,False
2025-04-09 19:20:00,1.1037,1.10416,1.10317,1.10346,532,13,0,False,False,False,True,False,False
2025-04-09 19:25:00,1.10346,1.10356,1.10242,1.10269,649,13,0,False,False,False,False,False,False
2025-04-09 19:30:00,1.10269,1.10331,1.10246,1.1033,477,13,0,False,False,True,False,False,False
2025-04-09 19:35:00,1.10327,1.10379,1.10314,1.10364,431,13,0,False,False,False,False,False,False
2025-04-09 19:40:00,1.1036299999999999,1.10393,1.10297,1.1035,769,13,0,False,False,False,True,False,False
2025-04-09 19:45:00,1.10351,1.10408,1.10345,1.10383,703,13,0,False,False,True,False,False,False
2025-04-09 19:50:00,1.10381,1.104,1.10225,1.10237,697,13,0,False,False,False,True,False,False
2025-04-09 19:55:00,1.10239,1.10239,1.10125,1.102,647,13,0,False,False,False,False,False,False
2025-04-09 20:00:00,1.10202,1.10276,1.09935,1.10115,1935,13,0,False,False,False,False,False,False
2025-04-09 20:05:00,1.10116,1.10183,1.10081,1.10145,1053,13,0,False,False,True,False,False,False
2025-04-09 20:10:00,1.10144,1.10259,1.10103,1.10245,824,13,0,False,False,False,False,False,False
2025-04-09 20:15:00,1.10244,1.10331,1.10167,1.10235,2147,13,0,False,False,False,True,False,False
2025-04-09 20:20:00,1.10232,1.1063,1.09593,1.09595,4603,13,0,False,False,False,False,False,False
2025-04-09 20:25:00,1.09598,1.09798,1.09448,1.09777,4105,13,0,False,False,True,False,False,False
2025-04-09 20:30:00,1.09776,1.0995,1.09639,1.09681,3272,13,0,False,False,False,True,False,False
2025-04-09 20:35:00,1.09681,1.09936,1.09624,1.09935,2654,13,0,False,False,True,False,False,False
2025-04-09 20:40:00,1.09936,1.10071,1.09883,1.10021,2354,13,0,False,False,False,False,False,False
2025-04-09 20:45:00,1.10022,1.10187,1.10006,1.10174,2231,13,0,False,False,False,False,False,False
2025-04-09 20:50:00,1.10173,1.10182,1.09785,1.0981,2499,13,0,False,False,False,True,False,False
2025-04-09 20:55:00,1.0981,1.09928,1.0971899999999999,1.09753,1942,13,0,False,False,False,False,False,False
2025-04-09 21:00:00,1.09753,1.09794,1.09428,1.09444,2500,13,0,False,False,False,False,False,False
