time,open,high,low,close,tick_volume,spread,real_volume,FVG_Up,FVG_Down,Bullish_OB,Bearish_OB,Buy_Signal,Sell_Signal
2025-04-16 14:40:00,1.32739,1.3274599999999999,1.32702,1.32714,372,10,0,False,False,False,False,False,False
2025-04-16 14:45:00,1.32715,1.32728,1.32681,1.32693,306,12,0,False,False,False,False,False,False
2025-04-16 14:50:00,1.3269199999999999,1.3272599999999999,1.32681,1.32695,357,7,0,False,False,True,False,False,False
2025-04-16 14:55:00,1.32697,1.32731,1.32669,1.32708,296,10,0,False,False,False,False,False,False
2025-04-16 15:00:00,1.3271,1.32715,1.32609,1.32682,608,6,0,False,False,False,True,False,False
2025-04-16 15:05:00,1.32682,1.32693,1.3261,1.32618,371,9,0,False,False,False,False,False,False
2025-04-16 15:10:00,1.32619,1.32654,1.32598,1.32646,507,10,0,False,False,True,False,False,False
2025-04-16 15:15:00,1.32646,1.32654,1.3260399999999999,1.32626,402,9,0,False,False,False,True,False,False
2025-04-16 15:20:00,1.3262800000000001,1.3269,1.32603,1.32671,554,7,0,False,False,True,False,False,False
2025-04-16 15:25:00,1.32674,1.32674,1.32559,1.32598,342,3,0,False,False,False,True,False,False
2025-04-16 15:30:00,1.32596,1.3269,1.32519,1.32529,1150,0,0,False,False,False,False,False,False
2025-04-16 15:35:00,1.32526,1.32598,1.32504,1.32596,754,0,0,False,False,True,False,False,False
2025-04-16 15:40:00,1.32595,1.32635,1.32546,1.32615,714,10,0,False,False,False,False,False,False
2025-04-16 15:45:00,1.32616,1.32626,1.3253599999999999,1.32619,679,8,0,False,False,False,False,False,False
2025-04-16 15:50:00,1.32618,1.32636,1.32524,1.32528,837,8,0,False,False,False,True,False,False
2025-04-16 15:55:00,1.32528,1.3259400000000001,1.32514,1.32588,846,9,0,False,False,True,False,False,False
2025-04-16 16:00:00,1.32587,1.32623,1.32534,1.3256999999999999,671,9,0,False,False,False,True,False,False
2025-04-16 16:05:00,1.32571,1.3262,1.3256299999999999,1.3260399999999999,536,8,0,False,False,True,False,False,False
2025-04-16 16:10:00,1.3260100000000001,1.32634,1.32589,1.3262,502,7,0,False,False,False,False,False,False
2025-04-16 16:15:00,1.3262399999999999,1.32705,1.32603,1.32694,583,11,0,False,False,False,False,False,False
2025-04-16 16:20:00,1.32694,1.32712,1.32668,1.32672,530,9,0,False,False,False,True,False,False
2025-04-16 16:25:00,1.3267,1.32679,1.32621,1.32656,429,9,0,False,False,False,False,False,False
2025-04-16 16:30:00,1.32659,1.3271,1.3262,1.3262399999999999,764,9,0,False,False,False,False,False,False
2025-04-16 16:35:00,1.3262,1.32683,1.3260399999999999,1.32651,541,11,0,False,False,True,False,False,False
2025-04-16 16:40:00,1.32652,1.32696,1.32623,1.32632,399,9,0,False,False,False,True,False,False
2025-04-16 16:45:00,1.32633,1.3268499999999999,1.32574,1.3258,1097,3,0,False,False,False,False,False,False
2025-04-16 16:50:00,1.32579,1.32632,1.32557,1.32623,989,1,0,False,False,True,False,False,False
2025-04-16 16:55:00,1.3262399999999999,1.32636,1.32588,1.32611,748,11,0,False,False,False,True,False,False
